,time,beijing_t,beijing_a
0,2024-05-30 05:00:00+08:00,21.8,52.0
1,2024-05-30 06:00:00+08:00,21.7,53.0
2,2024-05-30 07:00:00+08:00,24.8,52.0
3,2024-05-30 08:00:00+08:00,26.0,51.0
4,2024-05-30 09:00:00+08:00,27.4,45.0
5,2024-05-30 10:00:00+08:00,28.6,41.0
6,2024-05-30 11:00:00+08:00,29.5,43.0
7,2024-05-30 12:00:00+08:00,30.6,49.0
8,2024-05-30 13:00:00+08:00,31.7,58.0
9,2024-05-30 14:00:00+08:00,32.0,65.0
10,2024-05-30 15:00:00+08:00,22.0,48.0
11,2024-05-30 16:00:00+08:00,20.2,33.0
12,2024-05-30 17:00:00+08:00,21.8,29.0
13,2024-05-30 18:00:00+08:00,24.5,28.0
14,2024-05-30 19:00:00+08:00,23.6,28.0
15,2024-05-30 20:00:00+08:00,21.7,27.0
16,2024-05-30 21:00:00+08:00,20.2,32.0
17,2024-05-30 22:00:00+08:00,19.5,32.0
18,2024-05-30 23:00:00+08:00,19.9,31.0
19,2024-05-31 00:00:00+08:00,19.2,25.0
20,2024-05-31 01:00:00+08:00,23.2,21.0
21,2024-05-31 02:00:00+08:00,23.3,24.0
22,2024-05-31 03:00:00+08:00,22.9,26.0
23,2024-05-31 04:00:00+08:00,22.3,26.0
24,2024-05-31 05:00:00+08:00,21.7,26.0
